,Team,Player,Games,Wins,Losses,Winrate,Kills,Deaths,Assists,KDA,CS,CSPM,Gold,GPM,Kill Participation,Kill Share,Gold Share,Champions Played,Position
161,Oh_My_God,Chelly (Li Yu-Zhou),29,9,20,31.0,3.41,2.62,4.28,2.93,312.14,9.2,13.75,405,67.2,29.8,23.5,13,ADC
162,MAD_Team,Liang,29,17,12,58.6,2.1,1.83,4.69,3.72,266.62,8.16,12.01,367,61.6,19.1,20.8,9,Top
163,MES,Noway (Nguyễn Vũ Long),29,16,13,55.2,3.9,2.24,6.93,4.83,272.86,8.84,12.94,419,64.2,23.1,22.5,10,ADC
164,Team_Afro,Rainbow (Kim Soo-gi),29,11,18,37.9,2.97,2.28,4.14,3.12,349.0,9.25,14.74,391,69.6,29.1,23.3,9,ADC
165,Topsports_Gaming,Corn (Lei Wen),28,14,14,50.0,4.0,2.75,5.11,3.31,330.21,9.19,14.74,410,69.1,30.4,22.5,8,Mid
166,AHQ,Albis,27,8,19,29.6,0.63,2.59,5.44,2.34,48.56,1.34,8.47,233,65.3,6.8,13.8,6,Supp
167,Friends_Forever_QTV_Gaming,DNK,27,18,9,66.7,3.44,2.89,7.04,3.63,155.19,5.44,10.65,374,67.9,22.3,19.5,11,JG
168,Royal_Never_Give_Up,Uzi (Jian Zi-Hao),27,16,11,59.3,4.04,2.19,4.19,3.76,386.7,11.0,16.26,463,72.5,35.6,25.8,9,ADC
169,Royal_Never_Give_Up,Xiaohu,27,17,10,63.0,2.96,1.96,5.78,4.45,309.81,8.71,14.07,395,70.4,23.9,21.7,13,Mid
170,Gen.G,Ambition,26,16,10,61.5,0.88,1.88,4.77,3.0,181.35,5.05,10.97,306,74.2,11.6,17.5,6,JG
171,FTV_Esports,Manis,26,11,15,42.3,3.27,2.81,5.35,3.07,243.35,8.72,11.2,401,56.1,21.3,21.9,7,ADC
172,Yoe_Flash_Wolves,SwordArT,26,24,2,92.3,1.0,1.42,8.88,6.95,47.38,1.65,7.78,271,66.9,6.8,14.0,7,Supp
173,SKT1,Faker,25,10,15,40.0,2.52,2.2,4.4,3.15,331.8,9.65,13.93,405,74.9,27.3,23.0,15,Mid
174,Yoe_Flash_Wolves,Hanabi,25,24,1,96.0,3.0,1.8,5.68,4.82,253.56,8.5,12.43,417,57.0,19.7,21.5,11,Top
175,G-Rex,Wuji,25,12,13,48.0,2.52,2.4,4.72,3.02,310.36,8.59,13.71,379,65.3,22.7,21.9,12,ADC
176,Machi_E-Sports,3z,24,10,14,41.7,1.54,2.17,3.25,2.21,297.58,8.69,12.91,377,59.6,19.2,21.8,8,Top
177,Vikings_Gaming,CBL,24,3,21,12.5,1.33,3.67,5.5,1.86,40.92,1.36,7.08,235,62.1,12.1,14.3,10,Supp
178,EDward_Gaming,Clearlove,24,17,7,70.8,2.21,2.13,7.67,4.65,154.46,4.63,10.74,322,68.5,15.3,17.5,9,JG
179,Team_Afro,Epic,24,8,16,33.3,1.83,2.79,4.29,2.19,180.5,4.72,11.53,301,63.6,19.0,18.1,8,JG
180,Phong_V%C5%A9_Buffalo,Meliodas (Hoàng Tiến Nhật),24,19,5,79.2,4.17,2.67,7.96,4.55,189.5,5.71,12.63,381,65.5,22.5,19.2,9,JG
